movie_title,genres,title_year,imdb_score,actor_1_name,actor_2_name,actor_3_name,language,country
Dawn of the Planet of the Apes ,Action|Adventure|Drama|Sci-Fi,2014,7.6,Gary Oldman,Judy Greer,Kodi Smit-McPhee,English,USA
The Lovers ,Action|Adventure|Romance|Sci-Fi,2015,4.5,Tamsin Egerton,Alice Englert,Bipasha Basu,English,Belgium
47 Ronin ,Action|Adventure|Drama|Fantasy,2013,6.3,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,English,USA
Captain America: The Winter Soldier ,Action|Adventure|Sci-Fi,2014,7.8,Scarlett Johansson,Chris Evans,Hayley Atwell,English,USA
Shrek Forever After ,Adventure|Animation|Comedy|Family|Fantasy,2010,6.4,Jon Hamm,Kathy Griffin,Mary Kay Place,English,USA
Tomorrowland ,Action|Adventure|Family|Mystery|Sci-Fi,2015,6.5,Judy Greer,Chris Bauer,Thomas Robinson,English,USA
Big Hero 6 ,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,2014,7.9,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,English,USA
Wreck-It Ralph ,Adventure|Animation|Comedy|Family|Sci-Fi,2012,7.8,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,English,USA
The Polar Express ,Adventure|Animation|Family|Fantasy,2004,6.6,Tom Hanks,Eddie Deezen,Peter Scolari,English,USA
Independence Day: Resurgence ,Action|Adventure|Sci-Fi,2016,5.5,Vivica A. Fox,Sela Ward,Judd Hirsch,English,USA
How to Train Your Dragon ,Adventure|Animation|Family|Fantasy,2010,8.2,Gerard Butler,America Ferrera,Craig Ferguson,English,USA
Terminator 3: Rise of the Machines ,Action|Sci-Fi,2003,6.4,Nick Stahl,M.C. Gainey,Carolyn Hennesy,English,USA
Guardians of the Galaxy ,Action|Adventure|Sci-Fi,2014,8.1,Bradley Cooper,Vin Diesel,Djimon Hounsou,English,USA
Interstellar ,Adventure|Drama|Sci-Fi,2014,8.6,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,English,USA
Inception ,Action|Adventure|Sci-Fi|Thriller,2010,8.8,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,English,USA
Godzilla Resurgence ,Action|Adventure|Drama|Horror|Sci-Fi,2016,8.2,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Japanese,Japan
The Hobbit: An Unexpected Journey ,Adventure|Fantasy,2012,7.9,Aidan Turner,Adam Brown,James Nesbitt,English,USA
The Fast and the Furious ,Action|Crime|Thriller,2001,6.7,Paul Walker,Vin Diesel,Jordana Brewster,English,USA
The Curious Case of Benjamin Button ,Drama|Fantasy|Romance,2008,7.8,Brad Pitt,Jason Flemyng,Julia Ormond,English,USA
X-Men: First Class ,Action|Adventure|Sci-Fi,2011,7.8,Jennifer Lawrence,Michael Fassbender,Oliver Platt,English,USA
The Hunger Games: Mockingjay - Part 2 ,Adventure|Sci-Fi,2015,6.6,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,English,USA
The Sorcerer's Apprentice ,Action|Adventure|Family|Fantasy,2010,6.1,Nicolas Cage,Omar Benson Miller,Robert Capron,English,USA
Poseidon ,Action|Adventure|Drama|Thriller,2006,5.6,Jimmy Bennett,Mike Vogel,Andre Braugher,English,USA
Alice Through the Looking Glass ,Adventure|Family|Fantasy,2016,6.4,Johnny Depp,Alan Rickman,Anne Hathaway,English,USA
Shrek the Third ,Adventure|Animation|Comedy|Family|Fantasy,2007,6.1,Justin Timberlake,Eric Idle,Rupert Everett,English,USA
Warcraft ,Action|Adventure|Fantasy,2016,7.3,Dominic Cooper,Callum Rennie,Ruth Negga,English,USA
Terminator Genisys ,Action|Adventure|Sci-Fi,2015,6.6,J.K. Simmons,Emilia Clarke,Matt Smith,English,USA
The Chronicles of Narnia: The Voyage of the Dawn Treader ,Adventure|Family|Fantasy,2010,6.3,Bruce Spence,Shane Rangi,Laura Brent,English,USA
Pearl Harbor ,Action|Drama|History|Romance|War,2001,6.1,Jennifer Garner,Jaime King,Mako,English,USA
Transformers ,Action|Adventure|Sci-Fi,2007,7.1,Zack Ward,Michael O'Neill,Kevin Dunn,English,USA
Alexander ,Action|Adventure|Biography|Drama|History|Romance|War,2004,5.5,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,English,Germany
Harry Potter and the Order of the Phoenix ,Adventure|Family|Fantasy|Mystery,2007,7.5,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,English,UK
Harry Potter and the Goblet of Fire ,Adventure|Family|Fantasy|Mystery,2005,7.6,Robert Pattinson,Daniel Radcliffe,Rupert Grint,English,UK
Hancock ,Action|Drama,2008,6.4,Will Smith,Charlize Theron,Eddie Marsan,English,USA
I Am Legend ,Drama|Horror|Sci-Fi,2007,7.2,Will Smith,Alice Braga,Willow Smith,English,USA
Charlie and the Chocolate Factory ,Adventure|Comedy|Family|Fantasy,2005,6.7,Johnny Depp,Christopher Lee,David Kelly,English,USA
Ratatouille ,Animation|Comedy|Family|Fantasy,2007,8,Janeane Garofalo,John Ratzenberger,Brian Dennehy,English,USA
Batman Begins ,Action|Adventure,2005,8.3,Christian Bale,Liam Neeson,Morgan Freeman,English,USA
Madagascar: Escape 2 Africa ,Action|Adventure|Animation|Comedy|Family,2008,6.7,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,English,USA
Night at the Museum: Battle of the Smithsonian ,Adventure|Comedy|Family|Fantasy,2009,5.9,Robin Williams,Rami Malek,Steve Coogan,English,USA
X-Men Origins: Wolverine ,Action|Adventure|Fantasy|Sci-Fi|Thriller,2009,6.7,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,English,USA
The Matrix Revolutions ,Action|Sci-Fi,2003,6.7,Essie Davis,Collin Chou,Nona Gaye,English,Australia
Frozen ,Adventure|Animation|Comedy|Family|Fantasy|Musical,2013,7.6,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,English,USA
The Matrix Reloaded ,Action|Sci-Fi,2003,7.2,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,English,USA
Thor: The Dark World ,Action|Adventure|Fantasy,2013,7.1,Chris Hemsworth,Natalie Portman,Anthony Hopkins,English,USA
Mad Max: Fury Road ,Action|Adventure|Sci-Fi|Thriller,2015,8.1,Tom Hardy,Charlize Theron,Zoë Kravitz,English,Australia
Angels & Demons ,Mystery|Thriller,2009,6.7,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,English,USA
Thor ,Action|Adventure|Fantasy,2011,7,Chris Hemsworth,Natalie Portman,Anthony Hopkins,English,USA
Bolt ,Adventure|Animation|Comedy|Drama|Family,2008,6.9,Chloë Grace Moretz,Diedrich Bader,James Lipton,English,USA
G-Force ,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,2009,5.1,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,English,USA
Wrath of the Titans ,Action|Adventure|Fantasy,2012,5.8,Liam Neeson,Edgar Ramírez,Lily James,English,USA
Dark Shadows ,Comedy|Fantasy|Horror,2012,6.2,Johnny Depp,Chloë Grace Moretz,Christopher Lee,English,USA
Mission: Impossible - Rogue Nation ,Action|Adventure|Thriller,2015,7.4,Tom Cruise,Jeremy Renner,Sean Harris,English,China
The Wolfman ,Drama|Fantasy|Horror|Thriller,2010,5.8,Anthony Hopkins,Simon Merrells,Art Malik,English,USA
The Legend of Tarzan ,Action|Adventure|Drama|Romance,2016,6.6,Christoph Waltz,Alexander Skarsgård,Casper Crump,English,USA
Bee Movie ,Adventure|Animation|Comedy|Family,2007,6.2,Matthew Broderick,Oprah Winfrey,Rip Torn,English,USA
Kung Fu Panda 2 ,Action|Adventure|Animation|Comedy|Family,2011,7.3,Angelina Jolie Pitt,Gary Oldman,Mike Bell,English,USA
The Last Airbender ,Action|Adventure|Family|Fantasy,2010,4.2,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,English,USA
Mission: Impossible III ,Action|Adventure|Thriller,2006,6.9,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,English,USA
White House Down ,Action|Drama|Thriller,2013,6.4,Channing Tatum,Jake Weber,Matt Craven,English,USA
Mars Needs Moms ,Action|Adventure|Animation|Comedy|Family|Sci-Fi,2011,5.4,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,English,USA
Flushed Away ,Adventure|Animation|Comedy|Family,2006,6.7,Hugh Jackman,Kate Winslet,David Suchet,English,UK
Pan ,Adventure|Family|Fantasy,2015,5.8,Hugh Jackman,Cara Delevingne,Nonso Anozie,English,USA
Mr. Peabody & Sherman ,Adventure|Animation|Comedy|Family|Sci-Fi,2014,6.9,Ty Burrell,Zach Callison,Karan Brar,English,USA
Troy ,Adventure,2004,7.2,Brad Pitt,Orlando Bloom,Julian Glover,English,USA
Madagascar 3: Europe's Most Wanted ,Adventure|Animation|Comedy|Family,2012,6.9,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,English,USA
Die Another Day ,Action|Adventure|Thriller,2002,6.1,Toby Stephens,Colin Salmon,Rick Yune,English,UK
Ghostbusters ,Action|Comedy|Fantasy|Sci-Fi,2016,5.5,Ed Begley Jr.,Kate McKinnon,Zach Woods,English,USA
Armageddon ,Action|Adventure|Sci-Fi|Thriller,1998,6.6,Bruce Willis,Steve Buscemi,Will Patton,English,USA
Men in Black II ,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,2002,6.1,Will Smith,Rosario Dawson,Rip Torn,English,USA
Beowulf ,Action|Adventure|Animation|Fantasy,2007,6.3,Robin Wright,Anthony Hopkins,Sebastian Roché,English,USA
Kung Fu Panda 3 ,Action|Adventure|Animation|Comedy|Family,2016,7.2,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,English,USA
Mission: Impossible - Ghost Protocol ,Action|Adventure|Thriller,2011,7.4,Tom Cruise,Jeremy Renner,Michael Nyqvist,English,USA
Rise of the Guardians ,Adventure|Animation|Family|Fantasy,2012,7.3,Hugh Jackman,Kamil McFadden,Khamani Griffin,English,USA
Fun with Dick and Jane ,Comedy|Crime,2005,6.1,John Michael Higgins,Richard Burgi,David Herman,English,USA
The Last Samurai ,Action|Drama|History|War,2003,7.7,Tom Cruise,Tony Goldwyn,Chad Lindberg,English,USA
Exodus: Gods and Kings ,Action|Adventure|Drama,2014,6.1,Christian Bale,María Valverde,Ben Mendelsohn,English,UK
Star Trek ,Action|Adventure|Sci-Fi,2009,8,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,English,USA
Spider-Man ,Action|Adventure|Fantasy|Romance,2002,7.3,J.K. Simmons,James Franco,Kirsten Dunst,English,USA
How to Train Your Dragon 2 ,Action|Adventure|Animation|Comedy|Family|Fantasy,2014,7.9,Gerard Butler,Djimon Hounsou,America Ferrera,English,USA
Gods of Egypt ,Action|Adventure|Fantasy,2016,5.5,Gerard Butler,Elodie Yung,Bryan Brown,English,USA
Stealth ,Action|Adventure|Sci-Fi|Thriller,2005,5,Sam Shepard,Joe Morton,Richard Roxburgh,English,USA
Watchmen ,Action|Drama|Mystery|Sci-Fi,2009,7.7,Matt Frewer,Billy Crudup,Stephen McHattie,English,USA
Lethal Weapon 4 ,Action|Crime|Thriller,1998,6.6,Jet Li,Rene Russo,Darlene Love,English,USA
Hulk ,Action|Sci-Fi,2003,5.7,Kevin Rankin,Regi Davis,Celia Weston,English,USA
G.I. Joe: Retaliation ,Action|Adventure|Sci-Fi|Thriller,2013,5.8,Channing Tatum,Dwayne Johnson,Elodie Yung,English,USA
Sahara ,Action|Adventure|Comedy|Thriller,2005,6,Matthew McConaughey,Rainn Wilson,Delroy Lindo,English,UK
Final Fantasy: The Spirits Within ,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,2001,6.4,Steve Buscemi,Ming-Na Wen,Jean Simmons,English,USA
Captain America: The First Avenger ,Action|Adventure|Sci-Fi,2011,6.9,Chris Evans,Dominic Cooper,Hayley Atwell,English,USA
The World Is Not Enough ,Action|Adventure|Thriller,1999,6.4,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,English,UK
Master and Commander: The Far Side of the World ,Action|Adventure|Drama|History|War,2003,7.4,James D'Arcy,Lee Ingleby,David Threlfall,English,USA
The Twilight Saga: Breaking Dawn - Part 2 ,Adventure|Drama|Fantasy|Romance,2012,5.5,Robert Pattinson,Kristen Stewart,Taylor Lautner,English,USA
Happy Feet 2 ,Animation|Comedy|Family|Musical,2011,5.9,Robin Williams,Brad Pitt,Common,English,Australia
The Incredible Hulk ,Action|Adventure|Sci-Fi,2008,6.8,Ty Burrell,Peter Mensah,William Hurt,English,USA
Miami Vice             ,Action|Crime|Drama|Mystery|Thriller,,7.5,Don Johnson,Philip Michael Thomas,John Diehl,English,USA
The BFG ,Adventure|Family|Fantasy,2016,6.8,Mark Rylance,Penelope Wilton,Rafe Spall,English,UK
The Revenant ,Adventure|Drama|Thriller|Western,2015,8.1,Leonardo DiCaprio,Tom Hardy,Lukas Haas,English,USA
Turbo ,Adventure|Animation|Comedy|Family|Sport,2013,6.5,Ryan Reynolds,Snoop Dogg,Ben Schwartz,English,USA
Rango ,Adventure|Animation|Comedy|Family|Western,2011,7.2,Johnny Depp,Ray Winstone,Stephen Root,English,USA
Penguins of Madagascar ,Adventure|Animation|Comedy|Family,2014,6.7,Benedict Cumberbatch,Annet Mahendru,Andy Richter,English,USA
The Bourne Ultimatum ,Action|Mystery|Thriller,2007,8.1,Matt Damon,Edgar Ramírez,Albert Finney,English,USA
Kung Fu Panda ,Action|Adventure|Animation|Comedy|Family,2008,7.6,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,English,USA
Ant-Man ,Action|Adventure|Comedy|Sci-Fi,2015,7.4,Judy Greer,Hayley Atwell,T.I.,English,USA
The Hunger Games: Catching Fire ,Adventure|Sci-Fi|Thriller,2013,7.6,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,English,USA
The Twilight Saga: Breaking Dawn - Part 2 ,Adventure|Drama|Fantasy|Romance,2012,5.5,Robert Pattinson,Kristen Stewart,Taylor Lautner,English,USA
Home ,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,2015,6.7,Jim Parsons,Matt Jones,April Winchell,English,USA
War of the Worlds ,Adventure|Sci-Fi|Thriller,2005,6.5,Tom Cruise,Lisa Ann Walter,Rick Gonzalez,English,USA
Bad Boys II ,Action|Comedy|Crime|Thriller,2003,6.6,Will Smith,Henry Rollins,Jordi Mollà,English,USA
Puss in Boots ,Action|Adventure|Animation|Comedy|Family|Fantasy,2011,6.7,Salma Hayek,Constance Marie,Amy Sedaris,English,USA
Salt ,Action|Crime|Mystery|Thriller,2010,6.4,Angelina Jolie Pitt,Andre Braugher,August Diehl,English,USA
Noah ,Action|Adventure|Drama,2014,5.8,Anthony Hopkins,Emma Watson,Logan Lerman,English,USA
The Adventures of Tintin ,Action|Adventure|Family|Mystery,2011,7.4,Toby Jones,Mackenzie Crook,Tony Curran,English,USA
Harry Potter and the Prisoner of Azkaban ,Adventure|Family|Fantasy|Mystery,2004,7.8,Daniel Radcliffe,Gary Oldman,Rupert Grint,English,UK
Australia ,Adventure|Drama|Romance|War,2008,6.6,Essie Davis,Bryan Brown,Eddie Baroo,English,Australia
After Earth ,Action|Adventure|Sci-Fi,2013,4.9,Will Smith,Zoë Kravitz,Glenn Morshower,English,USA
Dinosaur ,Adventure|Animation|Family|Thriller,2000,6.5,Alfre Woodard,D.B. Sweeney,Della Reese,English,USA
Harry Potter and the Deathly Hallows: Part II ,Action|Fantasy,2011,7.5,Rupert Grint,Dave Legeno,Ralph Ineson,English,UK
Night at the Museum: Secret of the Tomb ,Adventure|Comedy|Family|Fantasy,2014,6.2,Robin Williams,Rami Malek,Steve Coogan,English,USA
Megamind ,Action|Animation|Comedy|Family|Sci-Fi,2010,7.3,J.K. Simmons,Brad Pitt,Will Ferrell,English,USA
Harry Potter and the Sorcerer's Stone ,Adventure|Family|Fantasy,2001,7.5,Daniel Radcliffe,Fiona Shaw,Verne Troyer,English,UK
R.I.P.D. ,Action|Comedy|Fantasy,2013,5.6,Ryan Reynolds,Jeff Bridges,Stephanie Szostak,English,USA
Godzilla Resurgence ,Action|Adventure|Drama|Horror|Sci-Fi,2016,8.2,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Japanese,Japan
Pirates of the Caribbean: The Curse of the Black Pearl ,Action|Adventure|Fantasy,2003,8.1,Johnny Depp,Orlando Bloom,Jack Davenport,English,USA
Harry Potter and the Deathly Hallows: Part I ,Fantasy,2010,6.4,Rupert Grint,Toby Jones,Alfred Enoch,English,UK
The Hunger Games: Mockingjay - Part 1 ,Adventure|Sci-Fi|Thriller,2014,6.7,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,English,USA
